id,name,author,year,cover,mydata/shelfdate,mydata/finishdate,mydata/rereadtime,mydata/note
1,Start With Why,Simon Sinek,2010,<link>,01/2017,05/2017,0,Good book
2,Tu Ma Thien,Nguyen Hien Le,2000,<link>,09/2023,n/a,0,in_progress
3,Chien Quoc Sach,Nguyen Hien Le,1900,https://salt.tikicdn.com/cache/750x750/ts/product/5a/e4/13/63fc869685f04765c5fd860e46e2c8fc.png.webp,09/2023,n/a,0,in_progress
4,Steve Jobs: The Man Who Thought Different,Karen Blumenthal,2012,https://www.publishersweekly.com/cover/9781250014450,9/2016,12/2016,0,Steve biography
5,Bán đảo Ả rập - Tinh thần hồi giáo và thảm kịch dầu mỏ,Nguyen Hien Le,2018,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7M_npccddScV59Wm2IzcwIiHh-wdVEznb7chX_TMurA&s,09/2023,n/a,0,in_progress
6,Educated,Tara Westover,2018,https://upload.wikimedia.org/wikipedia/en/1/1f/Educated_%28Tara_Westover%29.png,01/2022,05/2022,0,story about little girl fighting to education chance
7,The Intelligent Investor,Benjamin Graham,1949,https://m.media-amazon.com/images/I/51Xur1KZWKL.jpg,02/2023,n/a,0,quite hard to stay forcus
8,The Snowball: Warren Buffett and the Business of Life,Alice Schroeder,2008,https://i.ebayimg.com/images/g/K3oAAOSw3WJkd6oO/s-l1200.webp,05/2021,n/a,0
9,Leader Eat Last,Simon Sinek,2014,https://m.media-amazon.com/images/I/51ejdeSXFjL.jpg,01/2017,05/2017,0,how to be a good Leader
10,Chien Binh Cau vong,Andrea Hirata,2005,https://lh5.googleusercontent.com/6yFYdSUKloU9gAkg7rAbUeAZeAmDhT6pOR_ws1xrreJg2Hyue2X883CntdoEp24VprTpSWsjdWmaLRFVgPdpp2N0IkX2cS2FStc1iSzlggPpLTlSdkLrv5PamGkWJgycZlug_89-,07/2019,12/2019,0,great story about a group os students who live at the bottom of 6yFYdSUKloU9gAkg7rAbUeAZeAmDhT6pOR_ws1xrreJg2Hyue2X883CntdoEp24VprTpSWsjdWmaLRFVgPdpp2N0IkX2cS2FStc1iSzlggPpLTlSdkLrv5PamGkWJgycZlug_89
11,The 7 Habits of Highly Effective People,Stephen Covey,1989,https://cdn.kobo.com/book-images/21644ec2-68d0-43e4-a9cd-9c6fb0df1620/1200/1200/False/the-7-habits-of-highly-effective-people-14.jpg,06/2020,10/2020,1,best book ever
12,The Everything Store,Brad Stone,2013,https://m.media-amazon.com/images/I/51f3DdkrwmL.jpg,2018,half,biography of jeff
